epoch,acc,loss,mean_absolute_error,mean_squared_error,val_acc,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.008477020032347696,0.06992435308760202,0.1649414235684645,0.06992435308760202,0.009370044967154528,0.03721586866050538,0.12619290072017122,0.03721586866050538
1,0.008707687244112259,0.03229112816315221,0.1155828603248332,0.03229112816315221,0.008360963201460963,0.02575608701579249,0.10105231454461938,0.02575608701579249
2,0.008650020441171118,0.025109829146115956,0.10046196570521658,0.025109829146115956,0.008072654125548516,0.021858934219550683,0.09485414015665958,0.021858934219550683
3,0.008419353229406555,0.02123737513248487,0.0913199941647499,0.02123737513248487,0.009225890429198304,0.017652531649852386,0.08376154525016731,0.017652531649852386
4,0.008938354453298915,0.018391197162862687,0.08496890088890131,0.018391197162862687,0.009225890429198304,0.01604605322146295,0.07931055898013024,0.01604605322146295
5,0.008967187854769486,0.016321894278284912,0.07941033764895969,0.016321894278284912,0.009658354043066975,0.014991075880769133,0.07681467649816212,0.014991075880769133
6,0.008996021258817963,0.014764213023002267,0.07490429949286274,0.014764213023002267,0.009946663118979421,0.012563575464690821,0.06945964677805204,0.012563575464690821
7,0.009284355273523667,0.013491072712506293,0.07180049705563632,0.013491072712506293,0.009802508581023198,0.01148086315093517,0.06769094282579435,0.01148086315093517
8,0.009659189490063174,0.01247706069155529,0.06910935414218275,0.01247706069155529,0.009225890429198304,0.011954797514510503,0.06917611032904819,0.011954797514510503
9,0.009716856293004316,0.011566525480034773,0.06638850915662957,0.011566525480034773,0.010090817656935645,0.009631939225905186,0.06173736930615245,0.009631939225905186
10,0.00994752350476888,0.010895347795612196,0.06438198455030802,0.010895347795612196,0.010523281270804315,0.008748969219116038,0.059115083808426006,0.008748969219116038
11,0.01006285711065116,0.010172005701283342,0.062415007758557156,0.010172005701283342,0.010234972194891868,0.010129889938311166,0.0648377914498824,0.010129889938311166
12,0.010062857113229068,0.009537769994949354,0.06096398457669963,0.009537769994949354,0.010523281270804315,0.008061336362781259,0.05652254260405178,0.008061336362781259
13,0.01026469092352306,0.008933590508573805,0.05891474192194801,0.008933590508573805,0.010379126732848092,0.008153299072444753,0.05679919851866789,0.008153299072444753
14,0.010380024526827434,0.008443058932951249,0.057368273134926845,0.008443058932951249,0.010955744884672986,0.00692457932091338,0.052874359158973316,0.00692457932091338
15,0.010639525142640474,0.008039250106398737,0.056190734421862815,0.008039250106398737,0.011244053960585433,0.006844232763803702,0.053645393189434294,0.006844232763803702
16,0.01095669255881675,0.007385067778412814,0.05473726060780458,0.007385067778412814,0.01109989942262921,0.006182712073495029,0.05084016283092537,0.006182712073495029
17,0.01081252554888599,0.007114184457991416,0.05402705500172081,0.007114184457991416,0.010811590346716762,0.007268091218748891,0.05721106577417049,0.007268091218748891
18,0.011043192758072647,0.006687287092473904,0.05267828026505347,0.006687287092473904,0.01153236303649788,0.005498859503377469,0.049167239223053084,0.005498859503377469
19,0.011072026162121124,0.006380198879414556,0.05146163595542211,0.006380198879414556,0.01153236303649788,0.005940006443130058,0.051228847783727466,0.005940006443130058
20,0.011273859974993024,0.006070592779162742,0.05063194484201746,0.006070592779162742,0.011676517574454103,0.005624719145370556,0.05061820003138129,0.005624719145370556
21,0.01141802697976797,0.005844483087664785,0.05005940609571775,0.005844483087664785,0.012253135726278997,0.005048973626781949,0.048138611675967086,0.005048973626781949
22,0.011389193575719492,0.005568654239497391,0.048814036454783064,0.005568654239497391,0.01196482665036655,0.004904989604639475,0.047757017626634535,0.004904989604639475
23,0.011562193987120821,0.005358461031642468,0.048087725234620474,0.005358461031642468,0.012108981188322774,0.004593347929401197,0.04628150553022456,0.004593347929401197
24,0.011562193987120821,0.0050270582376383014,0.046844811374825886,0.0050270582376383014,0.012253135726278997,0.0039672492494778385,0.042514619582218686,0.0039672492494778385
25,0.011591027386013484,0.0048624675870492335,0.04605546765537278,0.0048624675870492335,0.012108981188322774,0.004714657552171103,0.046591962661491584,0.004714657552171103
26,0.011764027794836906,0.0046335622501554935,0.04530025728562046,0.0046335622501554935,0.01239729026423522,0.00411809899220819,0.044031813040459486,0.00411809899220819
27,0.011764027794836906,0.0045240625153254825,0.044714977928990415,0.0045240625153254825,0.01239729026423522,0.003973278347425844,0.043301910961591084,0.003973278347425844
28,0.011850528004404432,0.004231079843462784,0.04395178473592629,0.004231079843462784,0.01239729026423522,0.0034895158949676893,0.04073073106584433,0.0034895158949676893
29,0.011879361394704073,0.004188324046181389,0.04357338213360672,0.004188324046181389,0.01239729026423522,0.0036567347111926274,0.041268351883194505,0.0036567347111926274
30,0.011879361403297095,0.004022277127427478,0.04284529217476062,0.004022277127427478,0.01239729026423522,0.0033278516835247257,0.040282933506779015,0.0033278516835247257
31,0.011937028208816144,0.0038655473899862534,0.04204322019175488,0.0038655473899862534,0.01239729026423522,0.004043406129564502,0.04518370717738124,0.004043406129564502
32,0.011879361403297095,0.00382242182254225,0.04192706395150499,0.00382242182254225,0.012541444802191444,0.0032489169005545425,0.03988259236766108,0.0032489169005545425
33,0.011937028206238235,0.0036783018992541986,0.04135609970942933,0.0036783018992541986,0.01239729026423522,0.00334042022244032,0.03987757317669216,0.00334042022244032
34,0.011965861607708806,0.0035903483318897715,0.040827141177914805,0.0035903483318897715,0.012541444802191444,0.0034218513772646866,0.041339012107485494,0.0034218513772646866
35,0.011994695009179377,0.003520506090022228,0.040628275445565604,0.003520506090022228,0.012541444802191444,0.0033138801236973245,0.040232578900124334,0.0033138801236973245
36,0.01208119521101318,0.003348277499811861,0.039837482997858775,0.003348277499811861,0.012685599340147668,0.002936922489303281,0.03801256126627655,0.002936922489303281
37,0.012023528413227853,0.0032467618867850186,0.038973965536061646,0.0032467618867850186,0.012685599340147668,0.0027522969999691045,0.036844276645753404,0.0027522969999691045
38,0.012023528410649947,0.0031642118756575735,0.03877555974591329,0.0031642118756575735,0.01239729026423522,0.003098031035036746,0.03947729817664776,0.003098031035036746
39,0.012081195216168995,0.003126765283386713,0.0386887016143809,0.003126765283386713,0.012685599340147668,0.0026801310128263707,0.036703498433393066,0.0026801310128263707
40,0.012052361814698424,0.003012104514505349,0.03801607921602256,0.003012104514505349,0.012685599340147668,0.0029270136470443127,0.03864154060885012,0.0029270136470443127
41,0.012081195216168995,0.0030334381896633604,0.03823797810388992,0.0030334381896633604,0.012541444802191444,0.002542453983198036,0.035682311082596875,0.002542453983198036
42,0.012167695415424892,0.0028674588105799203,0.03736282082325148,0.0028674588105799203,0.012685599340147668,0.002772380118785917,0.037035540977128564,0.002772380118785917
43,0.012110028617639565,0.002828849896708749,0.03695440006962622,0.002828849896708749,0.012685599340147668,0.002497542870540039,0.035290410263949586,0.002497542870540039
44,0.012110028615061658,0.00281100481864674,0.036797676102138126,0.00281100481864674,0.012685599340147668,0.002765837325074471,0.03737041559320062,0.002765837325074471
45,0.012138862019110136,0.0027029555642029547,0.036126594214434475,0.0027029555642029547,0.012685599340147668,0.0023303825661633807,0.03442428790057567,0.0023303825661633807
