epoch,acc,loss,mean_absolute_error,mean_squared_error,val_acc,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.1971051284828426,5.970453502746418,1.8178622940407307,5.970453502746418,0.3025803674843189,3.7213860440629265,1.396067775720407,3.7213860440629265
1,0.3260192614815432,3.460645722838313,1.3189957938002617,3.460645722838313,0.3639901975733378,3.2135421825951176,1.2362718491247,3.2135421825951176
2,0.36696268943524624,3.0572976227051645,1.206769038553531,3.0572976227051645,0.4112728838190593,2.893292255653451,1.130833531140903,2.893292255653451
3,0.3856178992268646,2.832676717337698,1.148598926175693,2.832676717337698,0.42280524492229427,2.806195118691449,1.1022138885140882,2.806195118691449
4,0.3968917585539437,2.6773144765776626,1.107432519873632,2.6773144765776626,0.41415597437196905,2.597650540685712,1.0729717484327495,2.597650540685712
5,0.4062626136958919,2.5528562881263452,1.0784195839042283,2.5528562881263452,0.4259766457497395,2.5034446204133536,1.057640290215635,2.5034446204133536
6,0.4231013189542597,2.447857232376281,1.0480023522421285,2.447857232376281,0.3938301849454594,2.423938271054305,1.0609226734524453,2.423938271054305
7,0.41802664094679043,2.3543862564082474,1.0291450263104303,2.3543862564082474,0.41833645525094804,2.343758267330491,1.0201989000222,2.343758267330491
8,0.4287238320614267,2.2838410587885267,1.0103720626467536,2.2838410587885267,0.4310220542559968,2.248732119089797,0.9942113020689185,2.248732119089797
9,0.4322991735645042,2.2156192506258825,0.990194461205572,2.2156192506258825,0.45740233283316484,2.170017916253794,0.9677391218936321,2.170017916253794
10,0.4408050265927318,2.138463244768453,0.9694935133349118,2.138463244768453,0.47340348653341724,2.093211715759035,0.9293201684573722,2.093211715759035
11,0.4487342117221619,2.0637298468052463,0.9493423979674633,2.0637298468052463,0.4605737328228628,2.0805552065811748,0.9368095524255732,2.0805552065811748
12,0.4554523943765141,2.013145934666311,0.9345989718265885,2.013145934666311,0.4759982681135219,1.9649846645339806,0.9046326368054757,1.9649846645339806
13,0.45897006881714114,1.9589559190225212,0.9216287573445566,1.9589559190225212,0.4470232072989398,1.9807588780830208,0.9384301405089105,1.9807588780830208
14,0.46470791563932184,1.9074078828498544,0.9075947182379642,1.9074078828498544,0.4748450315263269,1.9072029650978195,0.8949770476935971,1.9072029650978195
15,0.4673894219305419,1.8636813499899199,0.8979924579532451,1.8636813499899199,0.45480755205214224,1.85135566631161,0.9077971268064507,1.85135566631161
16,0.4679949228922448,1.8120213897198354,0.885491649436398,1.8120213897198354,0.49171111245431665,1.7748776195338298,0.8601074545084786,1.7748776195338298
17,0.4756934413074464,1.7674374416780736,0.8717278805332306,1.7674374416780736,0.4709528591432815,1.7310610711574554,0.8749696098110149,1.7310610711574554
18,0.477336944847548,1.7287478019887206,0.8640303518624187,1.7287478019887206,0.48479169458086424,1.6904962419415304,0.8518244117107449,1.6904962419415304
19,0.4809122864348371,1.6850778036050253,0.8529542005328143,1.6850778036050253,0.491711112956965,1.694162768269005,0.8407153349299415,1.694162768269005
20,0.48843780391875946,1.6387514162057413,0.8401595512140265,1.6387514162057413,0.49805391205994837,1.6457444607955898,0.8271805483789322,1.6457444607955898
21,0.4923591468693524,1.61453700188536,0.8325162545859652,1.61453700188536,0.5038200930626605,1.55159858513972,0.8078663141562132,1.55159858513972
22,0.4915806451095621,1.573557924987953,0.8238325652628097,1.573557924987953,0.4932968132353592,1.5903508824748598,0.8204037790015261,1.5903508824748598
23,0.49322414847522533,1.5418247264657328,0.8157169277964562,1.5418247264657328,0.49790975699356693,1.5709719633612675,0.8206559944276561,1.5709719633612675
24,0.4994521630338976,1.520195734330915,0.8089232327107513,1.520195734330915,0.5072798018060605,1.466513276635565,0.7924325391575018,1.466513276635565
25,0.5013263341294847,1.4810192098488864,0.798860057240628,1.4810192098488864,0.4708087042573379,1.489576260859588,0.8230939710691852,1.489576260859588
26,0.502249003095986,1.4477754617227512,0.7900509559604978,1.4477754617227512,0.5110278197671454,1.4036860309527264,0.7750347973170671,1.4036860309527264
27,0.49841416101662334,1.4221708762734058,0.7867728773714809,1.4221708762734058,0.5139109100236215,1.4400055045249895,0.779504281248915,1.4400055045249895
0,0.2487745821977815,6.043660678793956,1.7162002718859042,6.043660678793956,0.33126711860864055,3.693995160904951,1.330582232885648,3.693995160904951
1,0.33435211401587644,3.431550353004146,1.3005732180722878,3.431550353004146,0.38518091284852385,3.2598430030289554,1.2048130407789797,3.2598430030289554
2,0.3665878550202079,3.0653978720883943,1.2068488049256911,3.0653978720883943,0.37105376904389176,3.0153256186978354,1.194060678421566,3.0153256186978354
3,0.3780923816140469,2.8747949238590946,1.1568326747655993,2.8747949238590946,0.3563500077447442,2.851509117569543,1.1705842050778104,2.851509117569543
4,0.38867423973977994,2.7268004874344838,1.122689206981307,2.7268004874344838,0.3707654597488762,2.712803223736222,1.1376020746820854,2.712803223736222
5,0.40600311309124976,2.550560925981453,1.0754719939217987,2.550560925981453,0.4266974181044217,2.4827015498894442,1.0367848836535316,2.4827015498894442
6,0.41390346450040816,2.426221255143204,1.045194960040594,2.426221255143204,0.4328960629143288,2.378627210821115,1.0096170581932007,2.378627210821115
7,0.424110487967061,2.3042403210334097,1.0153124125542357,2.3042403210334097,0.4572581791071791,2.1845438461624545,0.9655682465623534,2.1845438461624545
8,0.43385617729976966,2.2040713326171444,0.9878989277888414,2.2040713326171444,0.449329679678544,2.1179243421389593,0.9676218688943398,2.1179243421389593
9,0.44210252999145744,2.1014657888288015,0.9635220660356136,2.1014657888288015,0.4712411690483489,2.0067316787858442,0.9276676741116532,2.0067316787858442
10,0.44758087558686116,2.0231601889674056,0.9440779563901637,2.0231601889674056,0.46403344165648164,1.9648106763808222,0.9208170629568432,1.9648106763808222
11,0.45888356888512827,1.9581731244535858,0.9238417284926991,1.9581731244535858,0.46922300583487614,1.91090866330673,0.9009310802396753,1.91090866330673
12,0.45963323738437356,1.8936431090235812,0.9083839300889938,1.8936431090235812,0.46504252324173734,1.8090158046902014,0.8943070003480101,1.8090158046902014
13,0.46692808727586044,1.8277970675032524,0.8911726560176612,1.8277970675032524,0.48738647487212694,1.7215579082511114,0.8534886296465295,1.7215579082511114
14,0.4727812674530072,1.7603471365942414,0.8744295888187412,1.7603471365942414,0.4523569243655728,1.725073985050608,0.8850468563143348,1.725073985050608
15,0.47730811136444373,1.705750149298715,0.8615041983649362,1.705750149298715,0.4961799030063715,1.6240511144403595,0.8300465368238155,1.6240511144403595
16,0.4828729575165731,1.65367073985104,0.8460951756715404,1.65367073985104,0.4868098584860155,1.5977193925852466,0.8356982073454619,1.5977193925852466
17,0.4882936370110857,1.6154587734871948,0.8356974446459368,1.6154587734871948,0.49257603938562033,1.5502807837453814,0.8229402948804044,1.5502807837453814
18,0.4899371405941524,1.5680470032202085,0.8254465493740119,1.5680470032202085,0.48853971185886297,1.5497314934086452,0.8178627914940398,1.5497314934086452
19,0.49002364119728037,1.5249522018293238,0.8163097332480952,1.5249522018293238,0.4702320872139171,1.5702645227375336,0.8564021617960342,1.5702645227375336
20,0.4979816600272183,1.4780675871405666,0.8027196210372902,1.4780675871405666,0.5202537088688365,1.419863254686963,0.7746437664882274,1.419863254686963
21,0.4993079965472819,1.4570697658625409,0.7951565701053681,1.4570697658625409,0.5175147737345916,1.3803275674388202,0.7702932698729748,1.3803275674388202
22,0.5075255152153643,1.4136678167207366,0.7822959048478126,1.4136678167207366,0.512036900673611,1.3519981822689826,0.7694348036787498,1.3519981822689826
23,0.5077850161697425,1.3764161646295656,0.7754091872134895,1.3764161646295656,0.5215511003161982,1.2833591421178134,0.7457859234832559,1.2833591421178134
24,0.5132633615700846,1.339650606589278,0.7628310670933641,1.339650606589278,0.5196770904721316,1.2403254037972256,0.7386076879961889,1.2403254037972256
25,0.5103800215931694,1.312021319510326,0.7588187611252233,1.312021319510326,0.49891883966144984,1.3194342225188136,0.7721647619857419,1.3194342225188136
26,0.5123983599719454,1.2910621224850851,0.7533298108027913,1.2910621224850851,0.49935130207669554,1.32948684336018,0.7797585818409077,1.32948684336018
27,0.5180497066524434,1.264871717580331,0.7436958395185702,1.264871717580331,0.48767478521110447,1.287097382465402,0.7635959701560769,1.287097382465402
28,0.5237010524899659,1.228666599955287,0.7315296016173354,1.228666599955287,0.5257315814787225,1.2087347236288346,0.7333400000562856,1.2087347236288346
29,0.5258635584019877,1.2026704436722433,0.7281787446640154,1.2026704436722433,0.5263081989216842,1.1305369157534744,0.7109002653813867,1.1305369157534744
30,0.5243065544390072,1.1715859279821066,0.7208668073855925,1.1715859279821066,0.5346691631671072,1.1010684751422035,0.6913864109071751,1.1010684751422035
31,0.5286892311961502,1.1419339451467756,0.711100307244632,1.1419339451467756,0.526164044873488,1.1013199073848265,0.7109795985363464,1.1013199073848265
32,0.5295830668221914,1.1213827890413084,0.705421410618298,1.1213827890413084,0.5309211457473358,1.054458536120788,0.6951954968384265,1.054458536120788
33,0.5302462347088563,1.0936289710944331,0.6998183669398987,1.0936289710944331,0.5191004743051233,1.083121550830474,0.712603682517593,1.083121550830474
34,0.5380312530440405,1.0767090168585174,0.6908243389135413,1.0767090168585174,0.5437508989423535,1.0007882017937082,0.6738786611722666,1.0007882017937082
35,0.535061413159173,1.0525707472045938,0.6886807379236711,1.0525707472045938,0.5398587262370976,0.9917055958037783,0.6701864820058019,0.9917055958037783
36,0.5415200946065122,1.031492425569747,0.6805438325655487,1.031492425569747,0.5516793973957649,0.9792441190802408,0.6691007206861681,0.9792441190802408
37,0.5407127597159316,1.013213294847436,0.6769523498154891,1.013213294847436,0.550670316880248,0.9579046074095864,0.6594084676205295,0.9579046074095864
38,0.5424715966204514,0.980128162665685,0.6684669528196692,0.980128162665685,0.5340925442419772,0.9666726244206737,0.6716563959741723,0.9666726244206737
39,0.5454702704344012,0.9665054311704566,0.6631008905785203,0.9665054311704566,0.5584546614530126,0.9117321399957075,0.6423102647938232,0.9117321399957075
40,0.5463064390134594,0.9556608934458767,0.6598244099446244,0.9556608934458767,0.5463456802775781,0.9224014165876354,0.6549647404134694,0.9224014165876354
41,0.5478634425201504,0.9300809566752837,0.6529469364575947,0.9300809566752837,0.559463743399144,0.8775837909286882,0.6379518614682097,0.8775837909286882
42,0.5479787766983281,0.9092247824288626,0.6493582834140713,0.9092247824288626,0.5662390054844635,0.855371028313775,0.6202478947119804,0.855371028313775
