epoch,acc,loss,mean_absolute_error,mean_squared_error,val_acc,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.007640851389701154,0.06691034784199158,0.15779923318362865,0.06691034784199158,0.007351881435767398,0.0236128170148754,0.09533406504081755,0.0236128170148754
1,0.007842685194839332,0.02523208700167536,0.10011212063889799,0.02523208700167536,0.006631108745986281,0.01743099923312971,0.0792121256469254,0.01743099923312971
2,0.007669684791171725,0.019976429184052655,0.08736778424092384,0.019976429184052655,0.00619864513211761,0.017281801209894327,0.078950390421607,0.017281801209894327
3,0.008275186222053702,0.01762978034567977,0.0803472397511795,0.01762978034567977,0.008505117739417187,0.012549901787387666,0.06539754839328071,0.012549901787387666
4,0.008592353638229978,0.015418311180176055,0.07554112813950485,0.015418311180176055,0.009225890429198304,0.011209702906465295,0.06128212486600367,0.011209702906465295
5,0.008967187857347392,0.014453577849053755,0.07160919329277077,0.014453577849053755,0.009946663118979421,0.010418994088485857,0.06091488374745414,0.010418994088485857
6,0.008996021256240055,0.013300737440040702,0.06835189479903796,0.013300737440040702,0.008937581353285857,0.010598765082915912,0.060720604487140464,0.010598765082915912
7,0.009111354864700244,0.012470120841140846,0.06602168252559401,0.012470120841140846,0.009514199505110751,0.009356886232428868,0.05469613042197551,0.009356886232428868
8,0.009399688874250134,0.011768390900475502,0.06396470480876655,0.011768390900475502,0.010811590346716762,0.010159641004987322,0.06204012785999957,0.010159641004987322
9,0.00948618908381766,0.010950525929034196,0.06189905828448578,0.010950525929034196,0.009802508581023198,0.009969408867075981,0.05743798584334527,0.009969408867075981
10,0.009486189081239752,0.010933672830355217,0.06101719510461345,0.010933672830355217,0.010667435808760539,0.007817436569309744,0.050611908972495324,0.007817436569309744
11,0.009889856701827737,0.01042398803247064,0.05964226776977929,0.01042398803247064,0.011244053960585433,0.008091939095453393,0.05176008119212545,0.008091939095453393
12,0.01020702412058192,0.009960493844353028,0.05800577298517383,0.009960493844353028,0.009802508581023198,0.009208098957346637,0.053949052028930446,0.009208098957346637
13,0.009976356908817357,0.009702510012532282,0.056726866671821426,0.009702510012532282,0.009370044967154528,0.009422041258398248,0.05589399939915521,0.009422041258398248
